,Order Qty,Replenishment LT,LT Offset,Manufacturing LT,Action,SupplyType,Status,Rule,Multi-sourced,Special Demand,Flagged,Item,Description,Part Status,Shortage Date,Part Type Code,Product Family,Material Type,Max Order Qty,Min Order Qty,Multiple order Qty,Container Qty,Phase-in,Phase-out,UOM,Report Field 1,Planner Code,Supplier Code,Order Value,Original Order Qty,On-hand Qty,Excess Qty,Shortage Qty,Planned Receipt,Material,Capacity,RTO Priority,Resource ID,Work Center Code,WC Supplier Code,Ordering Group,Production Version,Supply type,Location,Reference,Settings
179,Not Equals 3,Equals +1,Less Than 9223372036854775807,"In Range (1,10)","('GROUPBY', 'REQUIRESATTENTION', 'POSTPONED')",Distributed,BLUEVOLUME,MANUAL,true,false,GROUPBY,Ends With 'Z',,,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('APD', 'FBF', 'PWD')","('YPAC', 'YNOP', 'YRAW')",GROUPBY,Equals 1 OR Equals 5,Greater Than Or Equal 3,,Equals 6,Less Than 999999-12-31,Not Blank,"('GROUPBY', 'SKU', 'TO')",Contains 'Z',Equals same value as in table,"('R037', 'I480', 'I353')",Greater Than 3,Not Blank,Equals 6,Equals ABCDEF,Equals 6,Less Than 999999-12-31,No,"('GROUPBY', 'Not Available', 'Partially Available')",Blank,Contains 'Z',,Ends With 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('I340', 'I411', 'T804')",Starts With 'SHELL',Contains 'Z'
180,Greater Than Or Equal 3,"In Range (1,10)",Less Than 3,Greater Than Or Equal 3,"('REQUIRESATTENTION', 'REQUIRESRELEASE', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Distributed')","('GREENFEP', 'REDFEP', 'YELLOWVOLUME')","('GROUPBY', 'FLOW', 'TWOBIN')",true,false,true,Starts With '5500' OR Starts With '500',Ends With 'Z',GROUPBY,Less Than 9999-12-31,"('APD', 'DRM', 'FP3')","('YBSE', 'YPAC', 'YNOP')",F,Greater Than 3,Equals 1,Equals 5,Equals 1 OR Greater Than 5,Less Than 999999-12-31,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'L', 'SKU')",Ends With 'Z',Equals 1 OR Equals 5,"('GROUPBY', 'T124', 'I353')",,,,"In Range (1,10)",Blank,Blank,"('GROUPBY', 'NA', 'No')","('GROUPBY', 'Available', 'N/A')",Equals 1,Starts With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Ends With 'Z',Ends With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I351', 'I486', 'U022')",Starts With 'SHELL',Contains 'Z'
181,,Less Than 9223372036854775807,Less Than 3,Greater Than Or Equal 3,"('GROUPBY', 'REQUIRESAPPROVAL', 'RELEASED')",Distributed,"('YELLOWFLOW', 'GREENFLOW', 'RTO')",RTO,GROUPBY,true,false,Starts With 'Z',Contains 'Omala',05,,"('D1P', 'FP3', 'PWD')","('GROUPBY', 'YBSE', 'YINT')","('GROUPBY', 'E', 'F')",Blank,"In Range (1,10)",Equals 6,"In Range (1,10)",,Less Than 999999-12-31,"('KG', 'L', 'UG6')",Ends With 'Z',Equals 1 OR Greater Than 5,"('GROUPBY', 'I480', 'I353')",,Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Equals 1 OR Greater Than 5,,Not Blank,NA,,Equals 6,Ends With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'a' OR Contains 'A',,"('GROUPBY', 'Manufactured', 'Distributed')","('I477', 'P082', 'C604')",Starts With 'Z',
182,Not Equals 3,Blank,Greater Than 3,Greater Than Or Equal 3,"('REQUIRESAPPROVAL', 'TODO', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFLOW', 'GREENFLOW', 'BLUEFLOW')","('FLOW', 'BUFFER', 'MANUAL')",true,GROUPBY,,Starts With '5500' OR Starts With '500',Contains 'a' AND Contains 'A',02,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('FPE', 'PKG', 'PRE')",YBLU,,Less Than 3,Equals 6,Equals 1 OR Greater Than 5,Equals 6,Not Blank,Blank,"('KAR', 'TO', 'UG6')",,Less Than 3,"('GROUPBY', 'R037', 'P083')",Equals 1 OR Greater Than 5,"In Range (1,10)",Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Greater Than 3,Greater Than 2000-01-01,"('GROUPBY', 'Yes', 'No')",Available,Equals 1 OR Equals 5,Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,Contains 'a' AND Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('R175', 'I009', 'C311')",,Ends With 'Z'
183,Equals 5,Less Than Or Equal 3,"In Range (1,10)",Less Than Or Equal 3,"('RELEASED', 'POSTPONED', 'REJECTED')","('Manufactured', 'Distributed', 'Purchased')","('GROUPBY', 'YELLOWVOLUME', 'BLUEVOLUME')","('FLOW', 'BUFFER', 'CYCLIC')",GROUPBY,true,,Contains '24',Contains 'Omala',GROUPBY,Equals '2022-02-28' OR Blank,"('GROUPBY', 'ADB', 'APZ')","('YBLU', 'YBSE', 'YRAW')","('GROUPBY', 'E', 'F')",Greater Than Or Equal 3,Less Than Or Equal 3,,Less Than 3,Blank,Less Than 999999-12-31,"('EA', 'KG', 'TO')",Ends With 'Z',Equals 1 OR Greater Than 5,"('T124', 'R037', 'I353')",Greater Than Or Equal 3,Not Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 3,Greater Than Or Equal 3,Less Than 9999-12-31,GROUPBY,Partially Available,Less Than Or Equal 3,Contains 'a' AND Contains 'A',,Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'Z',GROUPBY,"('I486', 'T804', 'U022')",Contains 'Z',Ends With 'Z'
184,Blank,Equals +1,Not Equals 3,Equals -1,"('REQUIRESAPPROVAL', 'RELEASED', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFEP', 'YELLOWVOLUME', 'BLUEVOLUME')","('CYCLIC', 'LOW', 'FEP')",true,false,true,Starts With 'Z',Contains 'a' AND Contains 'A',05,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('BTV', 'FPF', 'PRL')",YINT,F,Not Blank,,Greater Than 3,Equals 1 OR Greater Than 5,Not Blank,Less Than 9999-12-31,"('GROUPBY', 'EA', 'UG6')",,Equals -1,"('GROUPBY', 'T124', 'I353')",Equals 6,Not Equals 3,Less Than 3,,Equals 1 OR Greater Than 5,,Yes,Available,Equals 1 OR Equals 5,Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'Z',,Contains 'Z',"('GROUPBY', 'Purchased', 'Distributed')","('I340', 'I335', 'I477')",Ends With 'Z',Contains 'a' AND Contains 'A'
185,Equals 6,Not Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Equals 5,"('RELEASED', 'POSTPONED', 'TODO')",Purchased,"('REDFLOW', 'BLUEFLOW', 'YELLOWVOLUME')","('FLOW', 'RTO', 'MANUAL')",true,false,false,,Starts With 'Refrig' OR Contains 'Gadus',05,,"('BTV', 'LBL', 'PWD')","('YBSE', 'YPAC', 'YRAW')","('GROUPBY', 'E', 'F')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Greater Than Or Equal 3,Less Than 3,Less Than 999999-12-31,Less Than 999999-12-31,"('EA', 'L', 'TO')",,Equals 1 OR Greater Than 5,"('GROUPBY', 'T124', 'I353')",Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Equals 5,Equals 5,Less Than Or Equal 3,Greater Than 2000-01-01,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Available', 'Partially Available')",Blank,Contains 'Z',Contains 'a' OR Contains 'A',,,Ends With 'Z',Distributed,"('I340', 'I339', 'I337')",Contains 'a' AND Contains 'A',
186,,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Blank,"('GROUPBY', 'REQUIRESATTENTION', 'TODO')",Manufactured,"('REDFLOW', 'GREENFLOW', 'GREENFEP')",MANUAL,false,true,GROUPBY,,Starts With 'Z',"('GROUPBY', '02', '05')",Equals '2022-02-28' OR Blank,"('BTV', 'LBL', 'NOF')","('YBLU', 'YINT', 'YPCK')","('GROUPBY', 'E', 'F')",Equals 1,Equals 5,Not Equals 3,Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,Greater Than 2000-01-01,"('LB', 'SKU', 'TO')",Ends With 'Z',Equals +1,"('T124', 'R037', 'I353')",Equals 1 OR Equals 5,Blank,Equals 1 OR Equals 5,Not Equals 3,Not Equals 3,Less Than 9999-12-31,No,"('GROUPBY', 'N/A', 'Not Available')",Equals 1 OR Greater Than 5,,Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Manufactured,"('I340', 'P082', 'I009')",Ends With 'Z',Contains 'a' AND Contains 'A'
187,Blank,Less Than 3,Less Than 999999999999999999999999999999999999999,Less Than Or Equal 3,"('GROUPBY', 'REQUIRESRELEASE', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Distributed')","('REDFLOW', 'GREENFLOW', 'REDFEP')","('FLOW', 'BUFFER', 'TWOBIN')",GROUPBY,false,GROUPBY,Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',05,Equals '2022-02-28',"('FP1', 'FPC', 'GPF')","('YBLU', 'YNOP', 'YPCK')",,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Blank,Equals ABCDEF,Greater Than 2000-01-01,Less Than 9999-12-31,"('EA', 'KAR', 'SKU')",Contains 'Z',Less Than 3,"('R037', 'I480', 'I353')",Less Than Or Equal 3,Blank,Blank,Equals 1 OR Greater Than 5,"In Range (1,10)",Less Than 9999-12-31,NA,"('N/A', 'Not Available', 'Partially Available')",Less Than 3,Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',Contains 'Z',Starts With 'Z',Ends With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I324', 'R175', 'G081')",Starts With 'SHELL',Ends With 'Z'
188,Blank,Not Equals 3,,Equals +1,"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('YELLOWFLOW', 'REDVOLUME', 'GREENVOLUME')","('FLOW', 'CYCLIC', 'TWOBIN')",GROUPBY,false,GROUPBY,Contains '4' AND Contains '2',Contains 'a' AND Contains 'A',,,"('BSE', 'FPF', 'PRE')","('YINT', 'YPAC', 'YPCK')",F,Equals 1,Equals ABCDEF,Equals 5,Equals 1,,Less Than 9999-12-31,"('GROUPBY', 'EA', 'SKU')",Contains 'a' OR Contains 'A',Equals 1,"('R037', 'I480', 'I353')",Equals 5,Less Than Or Equal 3,Equals 1 OR Equals 5,Equals ABCDEF,Equals 1,Greater Than 2000-01-01 AND Less Than 9999-12-31,GROUPBY,,,Starts With 'Z',Ends With 'Z',Starts With 'Z',Starts With 'Z',,"('GROUPBY', 'Manufactured', 'Distributed')","('I477', 'P082', 'T804')",Starts With 'Z',Starts With 'LOC' AND Contains 'ITEM'
189,,Less Than 999999999999999999999999999999999999999,Not Blank,Greater Than 3,"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')","('GROUPBY', 'REDFLOW', 'REDVOLUME')",GROUPBY,,GROUPBY,,Starts With 'Z',Contains 'Omala',02,Not Blank,"('ADB', 'FP2', 'NOF')",YBSE,E,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Not Equals 3,Equals ABCDEF,Greater Than 2000-01-01 AND Less Than 9999-12-31,Blank,"('KG', 'L', 'LB')",Contains 'a' AND Contains 'A',Not Blank,"('GROUPBY', 'T124', 'I480')",Equals 1,Equals 6,Equals 1 OR Equals 5,,Equals 1 OR Equals 5,Greater Than 2000-01-01,NA,Partially Available,Equals 6,,Starts With 'Z',Ends With 'Z',,Contains 'a' OR Contains 'A',"('Purchased', 'Manufactured', 'Distributed')","('I411', 'I477', 'F477')",Starts With 'SHELL',Starts With 'LOC' AND Contains 'ITEM'
190,Equals ABCDEF,Equals 1 OR Greater Than 5,Less Than 9223372036854775807,Less Than 3,"('REQUIRESAPPROVAL', 'TODO', 'REJECTED')","('GROUPBY', 'Manufactured', 'Purchased')","('GREENFLOW', 'GREENFEP', 'REDVOLUME')",GROUPBY,GROUPBY,true,true,Starts With 'Z',Contains 'Z',05,Less Than 999999-12-31,"('ADB', 'FBE', 'PRE')","('YINT', 'YPAC', 'YNOP')",F,Not Blank,Less Than Or Equal 3,Greater Than Or Equal 3,Blank,Not Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('KG', 'LB', 'UG6')",Starts With 'Z',,I353,Equals 1,Equals 1 OR Equals 5,Equals 1,,Not Equals 3,Less Than 999999-12-31,Yes,"('GROUPBY', 'N/A', 'Partially Available')",Equals 6,Ends With 'Z',,Contains 'a' AND Contains 'A',Contains 'Z',Ends With 'Z',GROUPBY,"('I337', 'U022', 'I009')",Contains 'a' OR Contains 'A',
191,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 'ABCDEF',Less Than Or Equal 3,Less Than 9223372036854775807,"('GROUPBY', 'REQUIRESRELEASE', 'POSTPONED')","('Manufactured', 'Distributed', 'Purchased')","('BLUEFLOW', 'REDFEP', 'RTO')","('FLOW', 'FEP', 'TWOBIN')",false,GROUPBY,,Starts With 'Z',Starts With 'Omala' AND Contains 'S4',05,Not Blank,"('BST', 'FBF', 'PRL')",YRAW,,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 3,Equals 6,Equals 6,Greater Than 2000-01-01,Less Than 999999-12-31,"('L', 'LB', 'UG6')",Contains 'a' AND Contains 'A',Equals 1 OR Equals 5,"('T124', 'R037', 'I480')",Equals 6,,Blank,Not Equals 3,Greater Than Or Equal 3,Less Than 9999-12-31,No,Available,"In Range (1,10)",Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',,Contains 'Z',Contains 'Z',Purchased,"('I411', 'I477', 'I486')",Starts With 'SHELL',Starts With 'Z'
192,Blank,Equals 1,Equals +1,Less Than 3,"('REQUIRESATTENTION', 'POSTPONED', 'REJECTED')",,"('YELLOWFLOW', 'REDVOLUME', 'BLUEVOLUME')","('CYCLIC', 'LOW', 'RTO')",true,GROUPBY,,Contains '24',Starts With 'Omala' OR Starts With 'Corena',GROUPBY,Blank,"('FBF', 'FP1', 'IBC')","('GROUPBY', 'YNOP', 'YRAW')",F,Equals ABCDEF,Not Equals 3,Less Than 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Less Than 999999-12-31,Not Blank,,,Equals same value as in table,"('GROUPBY', 'R037', 'I353')",Equals 5,Not Equals 3,Not Blank,Equals 1 OR Equals 5,Equals 1 OR Greater Than 5,,"('GROUPBY', 'Yes', 'No')",,Less Than Or Equal 3,,Contains 'Z',Contains 'a' OR Contains 'A',Starts With 'Z',Starts With 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('I349', 'I337', 'T804')",,Starts With 'LOC' AND Contains 'ITEM'
193,Less Than 3,Less Than Or Equal 3,Less Than 999999999999999999999999999999999999999,Equals 'ABCDEF',REQUIRESRELEASE,GROUPBY,"('YELLOWFLOW', 'GREENVOLUME', 'BLUEVOLUME')","('GROUPBY', 'FLOW', 'FEP')",true,GROUPBY,GROUPBY,Starts With '5500' OR Starts With '500',Starts With 'Omala',02,,"('BSE', 'BST', 'FP3')","('GROUPBY', 'YINT', 'YNOP')",F,Greater Than Or Equal 3,Blank,Greater Than Or Equal 3,Blank,Less Than 999999-12-31,,"('GROUPBY', 'LB', 'SKU')",Ends With 'Z',Equals 1,"('GROUPBY', 'R037', 'P083')",Equals 6,,Equals 1,Not Blank,Equals 1 OR Equals 5,Less Than 999999-12-31,NA,"('Available', 'N/A', 'Not Available')",Less Than Or Equal 3,Starts With 'Z',Contains 'Z',Ends With 'Z',Ends With 'Z',Contains 'Z',"('GROUPBY', 'Manufactured', 'Distributed')","('GROUPBY', 'I477', 'U022')",Contains 'a' OR Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
194,Not Equals 3,Blank,Equals 1 OR Equals 5,Equals 'ABCDEF',REJECTED,Purchased,"('GREENFLOW', 'REDFEP', 'BLUEVOLUME')","('LOW', 'RTO', 'TWOBIN')",,,,Starts With '5' AND Ends With '1',Starts With 'Omala' OR Starts With 'Corena',,Less Than 999999-12-31,"('BTV', 'FPF', 'PWD')","('YPAC', 'YPCK', 'YRAW')","('GROUPBY', 'E', 'F')",Equals 6,Not Blank,Equals 1 OR Equals 5,Less Than Or Equal 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,,"('KAR', 'SKU', 'UG6')",Ends With 'Z',,"('GROUPBY', 'T124', 'R037')",Greater Than 3,"In Range (1,10)",Less Than Or Equal 3,"In Range (1,10)",Equals 6,Greater Than 2000-01-01 AND Less Than 9999-12-31,NA,Not Available,Equals 1 OR Equals 5,Ends With 'Z',,,Contains 'a' AND Contains 'A',Ends With 'Z',Distributed,"('F477', 'T804', 'G081')",Ends With 'Z',Starts With 'Z'
195,Equals 1 OR Greater Than 5,Less Than 3,Greater Than 3,Not Equals 3,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('YELLOWFLOW', 'YELLOWVOLUME', 'BLUEVOLUME')","('BUFFER', 'CYCLIC', 'LOW')",GROUPBY,true,,Starts With '5500',Contains 'Z',05,Less Than 9999-12-31,"('BTV', 'D1P', 'FP3')","('YBLU', 'YPAC', 'YRAW')",GROUPBY,Greater Than Or Equal 3,Not Blank,Equals 1 OR Greater Than 5,,Blank,Greater Than 2000-01-01,"('EA', 'KAR', 'SKU')",Contains 'a' OR Contains 'A',Less Than 9223372036854775807,P083,Not Equals 3,Equals ABCDEF,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Blank,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'N/A', 'Partially Available')",Blank,Ends With 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Starts With 'Z',Distributed,"('I349', 'I324', 'P082')",Contains 'Z',Starts With 'LOC' AND Contains 'ITEM'
196,,Blank,Equals 1 OR Equals 5,Not Equals 3,"('REQUIRESATTENTION', 'POSTPONED', 'TODO')","('GROUPBY', 'Manufactured', 'Purchased')","('GROUPBY', 'YELLOWFLOW', 'GREENFLOW')",GROUPBY,false,GROUPBY,false,Ends With 'Z',Contains 'a' AND Contains 'A',02,Equals '2022-02-28' OR Blank,"('FPF', 'IBC', 'PWD')","('GROUPBY', 'YINT', 'YPAC')",E,,"In Range (1,10)",Greater Than Or Equal 3,Less Than Or Equal 3,Not Blank,Less Than 999999-12-31,"('GROUPBY', 'EA', 'L')",,Less Than Or Equal 3,"('T124', 'P083', 'I353')",Equals 1 OR Greater Than 5,,Equals 1 OR Equals 5,Less Than 3,Equals ABCDEF,,"('GROUPBY', 'Yes', 'No')",Not Available,Equals 1 OR Greater Than 5,,Contains 'a' AND Contains 'A',Starts With 'Z',Contains 'a' AND Contains 'A',Contains 'a' AND Contains 'A',Manufactured,"('I324', 'U022', 'C604')",,Contains 'a' AND Contains 'A'
197,Equals 5,Equals 1,Blank,Greater Than Or Equal 1 AND Less Than Or Equal 10,"('REQUIRESATTENTION', 'TODO', 'REJECTED')","('GROUPBY', 'Manufactured', 'Distributed')",REDFLOW,LOW,,GROUPBY,false,Starts With '5' AND Ends With '1',Contains 'a' AND Contains 'A',,Equals '2022-02-28' OR Blank,"('GROUPBY', 'APD', 'FBR')","('YINT', 'YPCK', 'YRAW')",,Equals 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Not Equals 3,Greater Than Or Equal 1 AND Less Than Or Equal 10,Greater Than 2000-01-01,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('KAR', 'L', 'LB')",Starts With 'Z',Equals same value as in table,"('GROUPBY', 'T124', 'P083')",Equals 6,Less Than 3,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Blank,Not Blank,Yes,"('GROUPBY', 'Available', 'N/A')",Blank,,Starts With 'Z',Contains 'a' OR Contains 'A',Ends With 'Z',Contains 'Z',"('GROUPBY', 'Purchased', 'Manufactured')","('GROUPBY', 'I477', 'C604')",Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A'
198,Equals 1 OR Greater Than 5,Equals 1,Greater Than 3,Greater Than 3,"('REQUIRESAPPROVAL', 'RELEASED', 'POSTPONED')",Purchased,"('REDFLOW', 'GREENFEP', 'RTO')","('CYCLIC', 'RTO', 'MANUAL')",true,,GROUPBY,Contains 'a' OR Contains 'A',Contains 'Z',,Equals '2022-02-28' OR Blank,"('ADB', 'FBR', 'PRE')","('GROUPBY', 'YPAC', 'YRAW')",E,Greater Than Or Equal 3,Not Blank,Blank,Equals 1,Less Than 999999-12-31,Blank,"('GROUPBY', 'SKU', 'UG6')",,Greater Than 3,I353,Less Than Or Equal 3,Greater Than 3,Equals 6,Less Than Or Equal 3,Equals 1 OR Greater Than 5,Less Than 999999-12-31,No,"('GROUPBY', 'Available', 'Not Available')",Not Blank,Starts With 'Z',,Contains 'Z',,,GROUPBY,"('P082', 'C311', 'C604')",Contains 'Z',
199,Equals 1 OR Greater Than 5,"In Range (1,10)",Less Than 9223372036854775807,"In Range (1,10)","('REQUIRESATTENTION', 'TODO', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')","('YELLOWFLOW', 'RTO', 'REDVOLUME')","('FLOW', 'LOW', 'MANUAL')",false,false,,Contains 'a' AND Contains 'A',Starts With 'Refrig' OR Contains 'Gadus',05,Blank,"('D1B', 'FP3', 'MTO')","('YBLU', 'YPCK', 'YRAW')",F,"In Range (1,10)",Not Equals 3,Not Equals 3,Equals 6,Greater Than 2000-01-01 AND Less Than 9999-12-31,Less Than 9999-12-31,"('GROUPBY', 'KAR', 'UG6')",Starts With 'Z',Greater Than Or Equal 1 AND Less Than Or Equal 10,"('T124', 'P083', 'I480')",Not Blank,Less Than 3,,Equals 1 OR Equals 5,Blank,Blank,"('NA', 'Yes', 'No')",Available,Equals 6,Contains 'a' OR Contains 'A',Contains 'a' OR Contains 'A',Contains 'Z',,,"('GROUPBY', 'Purchased', 'Manufactured')","('I337', 'F477', 'U022')",Starts With 'Z',Contains 'Z'
200,Less Than 3,Less Than 3,Less Than 999999999999999999999999999999999999999,Greater Than Or Equal 3,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'TODO')","('GROUPBY', 'Distributed', 'Purchased')","('REDFLOW', 'BLUEFLOW', 'BLUEVOLUME')",LOW,false,false,,Ends With '9',Ends With 'Z',,Blank,"('BTV', 'D1P', 'FP3')","('GROUPBY', 'YINT', 'YNOP')","('GROUPBY', 'E', 'F')",Greater Than 3,Less Than Or Equal 3,Less Than Or Equal 3,Greater Than 3,Greater Than 2000-01-01 AND Less Than 9999-12-31,Not Blank,"('KAR', 'LB', 'SKU')",Contains 'a' OR Contains 'A',Equals -1,"('R037', 'P083', 'I480')",Less Than 3,Not Blank,Equals 1,Greater Than 3,,Less Than 999999-12-31,,N/A,,Starts With 'Z',Starts With 'Z',,Starts With 'Z',Ends With 'Z',"('Purchased', 'Manufactured', 'Distributed')","('I349', 'I339', 'I337')",Ends With 'Z',Starts With 'LOC'
201,Less Than 3,Not Blank,Not Blank,Equals 'ABCDEF',"('REQUIRESRELEASE', 'RELEASED', 'REJECTED')","('GROUPBY', 'Distributed', 'Purchased')",YELLOWFLOW,"('BUFFER', 'LOW', 'MANUAL')",GROUPBY,,GROUPBY,Contains '4' AND Contains '2',Starts With 'Z',02,Blank,"('DRM', 'FPE', 'PRL')","('YBLU', 'YNOP', 'YPCK')",GROUPBY,Equals 5,Equals 1 OR Greater Than 5,Equals 1,,,Blank,"('GROUPBY', 'KG', 'UG6')",Contains 'Z',Equals +1,GROUPBY,Greater Than Or Equal 3,Equals 1 OR Greater Than 5,Not Equals 3,Equals 5,Equals 1 OR Equals 5,,"('GROUPBY', 'NA', 'No')",N/A,Equals 6,Ends With 'Z',Ends With 'Z',Contains 'a' AND Contains 'A',Contains 'Z',Contains 'a' AND Contains 'A',GROUPBY,"('I477', 'F477', 'I486')",Contains 'Z',Contains 'a' AND Contains 'A'
202,Equals ABCDEF,Less Than Or Equal 3,Equals same value as in table,Less Than 999999999999999999999999999999999999999,POSTPONED,Purchased,"('REDFLOW', 'RTO', 'BLUEVOLUME')","('LOW', 'TWOBIN', 'MANUAL')",GROUPBY,true,true,Starts With '5' AND Ends With '1',Starts With 'Omala' AND Contains 'S4',"('GROUPBY', '02', '05')",Not Blank,"('APD', 'FP2', 'FP3')","('YBSE', 'YINT', 'YPCK')",E,Greater Than 3,"In Range (1,10)","In Range (1,10)",Equals ABCDEF,,Less Than 999999-12-31,EA,,Less Than 9223372036854775807,"('T124', 'P083', 'I480')",Equals 1,Equals 1 OR Greater Than 5,Equals 1 OR Greater Than 5,Greater Than Or Equal 1 AND Less Than Or Equal 10,Equals 1 OR Greater Than 5,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('NA', 'Yes', 'No')","('GROUPBY', 'Available', 'Partially Available')",Less Than 3,Contains 'a' OR Contains 'A',Contains 'a' AND Contains 'A',Starts With 'Z',Ends With 'Z',Contains 'a' OR Contains 'A',"('GROUPBY', 'Purchased', 'Distributed')","('I477', 'I324', 'F477')",Ends With 'Z',Contains 'Z'
203,Equals ABCDEF,Greater Than Or Equal 1 AND Less Than Or Equal 10,,Blank,"('REQUIRESRELEASE', 'REQUIRESAPPROVAL', 'POSTPONED')","('GROUPBY', 'Manufactured', 'Distributed')","('GREENFEP', 'RTO', 'GREENVOLUME')","('FLOW', 'BUFFER', 'CYCLIC')",GROUPBY,,GROUPBY,Ends With '9',Starts With 'Omala' OR Starts With 'Corena',GROUPBY,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('BSE', 'D1B', 'PRE')",YINT,,Less Than 3,"In Range (1,10)",Equals 1,Equals 1 OR Greater Than 5,,Not Blank,L,,,"('GROUPBY', 'T124', 'I353')",Not Equals 3,Not Equals 3,Less Than Or Equal 3,Less Than Or Equal 3,Equals ABCDEF,Greater Than 2000-01-01 AND Less Than 9999-12-31,"('GROUPBY', 'NA', 'Yes')","('GROUPBY', 'Not Available', 'Partially Available')",Equals 6,Contains 'Z',Contains 'Z',Contains 'Z',Contains 'a' AND Contains 'A',Contains 'a' OR Contains 'A',Manufactured,"('I339', 'C311', 'G081')",Contains 'a' AND Contains 'A',Starts With 'LOC' AND Contains 'ITEM'
